experiment,edge,given cycle,found cycle,iterations
2,"11,12","11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,0,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11","11,12,13,14,15,16,17,18,0,19,1,2,3,4,5,6,7,8,9,10",17
2,"12,13","12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,0,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12","12,13,14,15,16,17,18,0,19,1,2,3,4,5,6,7,8,9,10,11",9
2,"13,14","13,14,14,15,15,16,16,17,17,18,18,19,19,0,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13","13,14,15,16,17,18,0,19,1,2,3,4,5,6,7,8,9,10,11,12",11
2,"14,15","14,15,15,16,16,17,17,18,18,19,19,0,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14","14,15,16,17,18,0,19,1,2,3,4,5,6,7,8,9,10,11,12,13",17
2,"15,16","15,16,16,17,17,18,18,19,19,0,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15","15,16,17,18,0,19,1,2,3,4,5,6,7,8,9,10,11,12,13,14",17
2,"16,17","16,17,17,18,18,19,19,0,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16","16,17,18,19,0,1,2,3,15,14,6,7,9,8,13,12,10,11,4,5",16
2,"17,18","17,18,18,19,19,0,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17","17,18,19,0,1,2,3,15,14,6,7,9,8,13,12,10,11,4,5,16",28
2,"18,19","18,19,19,0,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18","18,19,0,1,2,3,15,14,6,7,9,8,13,12,10,11,4,5,16,17",30
2,"19,0","19,0,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19","19,0,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1",1
3,"0,1","0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,0","0,1,2,19,18,12,11,10,9,5,6,7,8,13,14,4,3,15,16,17",6
3,"1,2","1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,0,0,1","1,2,3,4,5,9,8,7,6,10,11,12,13,14,15,16,17,18,19,0",11
